4,200,True,minimal,majority,True,True,|,7,52,0,0,0,3,2,0,0,3,3,4,3,|,2,17,0,0,0,2,2,2,0,0,0,0,0,|,4,5,7
4,200,False,minimal,majority,True,True,|,7,31,0,0,0,4,2,0,0,3,3,3,2,|,2,17,0,0,0,2,2,2,0,0,0,0,0,|,3,4,7
4,200,False,minimal,majority,False,False,|,7,18,0,0,0,0,0,7,3,3,3,0,0,|,2,9,0,0,0,0,0,4,2,0,0,0,0,|,3,4,7
4,300,True,minimal,majority,True,True,|,7,47,0,0,0,3,3,0,0,5,5,1,1,|,2,19,0,0,0,2,2,0,0,2,2,0,0,|,7,7,7
4,300,False,minimal,majority,True,True,|,7,30,0,0,0,4,3,0,0,4,4,0,0,|,2,19,0,0,0,2,2,0,0,2,2,0,0,|,6,6,7
4,300,False,minimal,majority,False,False,|,7,20,0,0,0,0,0,4,3,4,4,0,0,|,2,13,0,0,0,0,0,2,2,2,2,0,0,|,6,6,7
4,400,True,minimal,majority,True,True,|,7,43,0,0,0,4,3,0,0,4,4,1,1,|,2,19,0,0,0,2,2,0,0,2,2,0,0,|,6,6,7
4,400,False,minimal,majority,True,True,|,7,33,0,0,0,4,3,0,0,4,4,1,1,|,2,19,0,0,0,2,2,0,0,2,2,0,0,|,6,6,7
4,400,False,minimal,majority,False,False,|,7,22,0,0,0,0,0,5,3,4,4,0,0,|,2,13,0,0,0,0,0,2,2,2,2,0,0,|,6,6,7
4,500,True,minimal,majority,True,True,|,7,45,0,0,0,3,3,0,0,4,4,1,1,|,2,19,0,0,0,2,2,0,0,1,1,0,0,|,7,7,7
4,500,False,minimal,majority,True,True,|,7,36,0,0,0,3,3,0,0,4,4,2,2,|,2,19,0,0,0,2,2,0,0,1,1,0,0,|,7,7,7
4,500,False,minimal,majority,False,False,|,7,23,0,0,0,0,0,5,3,4,4,0,0,|,2,13,0,0,0,0,0,2,2,1,1,0,0,|,6,6,7
5,200,True,minimal,majority,True,True,|,4,21,0,0,0,2,2,0,0,1,1,1,1,|,2,4,0,2,2,0,0,0,0,0,0,0,0,|,2,2,6
5,200,False,minimal,majority,True,True,|,4,16,0,0,0,2,2,0,0,1,1,1,1,|,2,4,0,2,2,0,0,0,0,0,0,0,0,|,2,2,6
5,200,False,minimal,majority,False,False,|,4,9,0,0,0,0,0,3,2,1,1,0,0,|,2,12,0,0,0,0,0,0,0,4,4,0,0,|,2,3,6
5,300,True,minimal,majority,True,True,|,4,27,0,0,0,1,1,1,1,0,0,1,1,|,2,10,0,1,1,0,0,0,0,1,1,0,0,|,2,2,6
5,300,False,minimal,majority,True,True,|,4,22,0,0,0,1,1,2,2,1,1,1,1,|,2,10,0,1,1,0,0,0,0,1,1,0,0,|,2,2,6
5,300,False,minimal,majority,False,False,|,4,12,0,0,0,0,0,4,3,1,1,0,0,|,2,12,0,0,0,0,0,0,0,3,3,0,0,|,2,3,6
5,400,True,minimal,majority,True,True,|,4,26,0,0,0,2,2,0,0,2,2,0,0,|,4,22,0,4,4,0,0,3,3,0,0,0,0,|,6,6,6
5,400,False,minimal,majority,True,True,|,4,21,0,0,0,2,2,0,0,3,3,0,0,|,4,22,0,4,4,0,0,3,3,0,0,0,0,|,6,6,6
5,400,False,minimal,majority,False,False,|,4,15,0,0,0,0,0,2,2,3,3,0,0,|,4,24,0,0,0,0,0,3,3,6,6,0,0,|,6,6,6
